PROGRAM_ID,CATEGORY_ID,KIND_ID,PRODUCTION_COUNTRY,PRODUCTION_YEAR
30244,1,5,France - Etats-Unis - Italie,1988
30805,1,131,France,2003
30874,1,142,France - Belgique - Canada,2003
31041,5,65,,
31152,9,101,France,0
32272,1,131,France,2014
32646,1,68,Etats-Unis,2003
32689,1,16,France,1977
33055,4,46,France,
33099,1,63,Etats-Unis,1996
33415,1,158,Etats-Unis,2007
33498,1,14,Etats-Unis,1993
33881,4,43,,0
34008,1,27,Etats-Unis,1975
36280,1,33,France,2002
36898,9,130,France,
37233,8,49,Grande-Bretagne,
37273,3,36,,
37435,1,23,Etats-Unis,1936
37459,1,68,Etats-Unis,1973
37662,1,63,Etats-Unis,2012
37721,1,14,Grande-Bretagne - Etats-Unis,2004
37728,8,5,Grande-Bretagne,
37825,3,38,Etats-Unis,0
38078,5,22,,
39113,1,5,Etats-Unis,1953
39353,8,123,France,
39533,3,38,Grande-Bretagne,
40029,3,132,Etats-Unis,0
40054,3,36,,
40161,1,68,Etats-Unis,1946
41031,1,116,Canada,2016
41482,6,175,Etats-Unis,2009
41524,8,136,Allemagne,
42054,8,49,France,
42145,9,61,France,0
43457,3,38,Etats-Unis,
44666,8,123,France,
46047,5,110,,
46103,3,38,Etats-Unis,
46134,3,38,Etats-Unis,
46158,3,38,Etats-Unis,
46180,3,38,Etats-Unis,
46201,5,61,France,
46251,8,130,Etats-Unis,1997
46305,1,146,Etats-Unis,2015
46550,1,148,Etats-Unis,1950
46860,1,138,Japon,1965
46866,1,131,France,2016
47496,1,63,Etats-Unis,1951
47611,8,136,Etats-Unis,0
47874,2,6,Canada,2016
49424,5,61,Etats-Unis,
49889,6,182,Etats-Unis,2018
50494,1,18,France - Canada,2017
51185,8,49,France,
51811,9,101,Belgique,0
51834,1,33,Etats-Unis,1982
51944,2,16,France,2007
52441,1,16,France - Italie,1972
52891,1,29,Australie - Etats-Unis,2008
53458,6,180,Italie,2007
57116,1,149,Etats-Unis,2018
57603,5,12,France,2019
57838,8,49,France,0
57909,8,126,,
58198,9,101,France,0
58315,1,31,France,2016
58694,9,107,,
59218,8,6,France,
59219,8,6,France,
59220,8,121,France,0
59648,1,158,Etats-Unis,1995
67018,1,14,France,1965
80692,3,38,Etats-Unis,
91777,9,51,,
125250,8,130,France,2019
132628,4,43,,
134098,1,68,Italie - Espagne,1968
137280,4,36,,0
155002,8,6,France,
156378,8,94,,
158356,2,6,Etats-Unis - Grande-Bretagne,2019
159999,5,20,,
163914,1,158,France,2018
167376,6,176,Etats-Unis,2018
168540,8,6,France,0
169909,5,12,,2019
170296,6,174,Etats-Unis,2006
173620,1,63,France - Italie,1970
175446,1,18,France,2017
176570,8,137,France,2012
178365,1,14,France,1952
179993,8,130,France,0
180338,8,136,Canada,0
180643,1,18,France - Belgique,2017
181198,1,33,Pays-Bas,2018
181199,1,131,France,2017
181408,1,23,Kenya,2018
182178,1,23,Grande-Bretagne - Irlande,2017
182280,8,130,Irlande,
182374,1,63,Etats-Unis,2018
183509,8,136,Etats-Unis,
184737,9,101,Etats-Unis,0
186450,9,101,France,0
187200,1,23,Italie,1962
187394,1,63,Grande-Bretagne - Chine,2017
189636,8,136,France,1963
190641,1,18,France - Belgique,2018
192070,8,123,Grande-Bretagne,
192236,6,181,Etats-Unis,2004
192707,5,47,Etats-Unis,0
192867,1,158,France - Grèce,2019
194696,1,14,France,1987
195079,9,130,France,0
195567,9,101,France,0
195696,1,68,Etats-Unis,1969
196152,8,137,France,2019
197307,1,27,HongKong,2015
198512,1,23,Etats-Unis,1971
199421,1,146,France,1950
199788,1,27,Taïwan,2011
200691,6,176,Etats-Unis,2018
200768,8,94,France,
201545,1,1,Italie - Espagne,1955
202703,9,12,,2017
202806,1,18,France,2019
203787,1,23,France - Maroc,2000
204148,1,1,Etats-Unis,1999
204200,5,12,,2019
205105,1,14,France,1975
205414,1,158,Suède - Danemark,2018
205533,1,148,Canada,2019
206292,4,224,France,0
206878,1,23,Italie - France,1959
207432,1,27,Etats-Unis,2018
207694,6,176,Etats-Unis,2019
207781,1,63,France,2018
210262,4,46,,
213976,1,18,,2019
214030,1,14,Allemagne - Mongolie,2003
214175,1,148,Etats-Unis,2006
214999,4,46,France,
215321,1,131,France,1976
216972,3,125,France,
217903,1,18,Italie,2016
218456,8,123,France,
218581,8,6,France,
218582,8,6,Grande-Bretagne,
218776,1,30,Grande-Bretagne - France,1999
218833,1,83,Italie,1985
218953,8,131,France - Suède,1974
219408,1,14,Etats-Unis,1987
219937,1,83,France,1981
219988,1,23,Etats-Unis,2019
220085,1,116,Etats-Unis,1943
220086,4,43,France,
220233,8,130,France,2016
220235,8,119,Allemagne,
220600,1,29,Etats-Unis,2018
221593,1,5,Etats-Unis,1940
221661,4,48,France,
221868,8,130,Etats-Unis,2018
221879,8,4,France,2019
222442,2,16,Grande-Bretagne - France - Allemagne,2019
222653,5,98,,
223215,5,12,,0
223275,2,22,Etats-Unis,1994
223392,8,4,France,
223402,1,23,Etats-Unis,1967
223405,3,38,Etats-Unis,
223663,1,16,Etats-Unis,1934
223795,1,148,France - Italie,1950
223920,5,125,,
224148,5,51,,
224159,5,51,,
224589,2,23,Côte d'Ivoire,2017
224591,2,16,France,2008
224833,6,173,Grande-Bretagne,
224930,8,4,,
224939,5,51,,
224979,7,93,,2008
224986,7,93,,1987
224990,7,93,,1975
224991,7,93,,1953
225019,7,93,,0
225049,7,119,,1974
225054,7,93,,2012
225055,8,129,Allemagne,
225058,9,36,,
225059,1,5,Etats-Unis,1940
225064,5,51,,
225065,3,115,,
225066,3,115,,
225067,3,115,,
225082,2,16,France,2019
225091,7,93,,0
225092,7,93,,2020
225101,7,93,,1997
225115,2,16,France,2019
225119,6,60,Etats-Unis,2018
225121,2,23,Corée du Sud,2018
225124,5,12,,2020
225128,6,21,Etats-Unis,2014
225176,7,93,,2020
225177,9,12,,
225182,3,47,France,
225186,3,115,,
225285,1,23,Grande-Bretagne,2016
225289,6,21,Etats-Unis,2017
225290,3,38,Etats-Unis,
225291,3,38,Etats-Unis,
225292,3,38,Etats-Unis,
225293,3,38,Etats-Unis,
225297,1,116,Etats-Unis,2019
225342,6,21,Russie,2016
225357,1,18,France,2019
225358,3,80,France,
14,1,29,France,1970
15,4,43,France,
19,4,36,France,
21,4,43,,
24,6,174,France - Japon,1991
28,6,28,Japon,0
43,8,8,Etats-Unis,0
44,8,8,Canada,0
69,2,23,France,0
77,2,26,France,0
87,2,16,Allemagne,0
97,4,46,France,0
99,4,46,France,0
105,4,46,France,0
111,5,111,France,
125,6,174,France - Etats-Unis,2009
127,6,174,Grande-Bretagne,2003
129,6,173,Etats-Unis,1957
131,6,174,Etats-Unis,1954
132,6,173,Etats-Unis,0
134,6,174,Etats-Unis,1961
135,6,174,Etats-Unis,1955
136,6,173,Etats-Unis,2006
138,6,174,Etats-Unis,2012
141,6,179,France,2011
142,6,174,Etats-Unis,2005
145,4,155,France,
146,4,204,,0
152,5,65,Grande-Bretagne,2015
168,7,93,,0
185,1,27,France,2006
189,2,22,France,0
191,2,26,France,0
194,2,26,France,0
215,2,23,Etats-Unis,2020
257,6,236,France,
260,6,174,France,2003
264,6,175,Etats-Unis,2006
270,6,174,France,2017
273,6,174,Etats-Unis,2018
275,6,174,France - Etats-Unis,2014
276,8,119,France,2015
281,2,22,France,2012
287,5,42,France,
290,4,52,France,
293,2,26,Etats-Unis,2003
294,4,52,France,
296,5,42,France,0
297,4,46,France,
302,5,42,France,
303,5,42,France,
311,8,119,France,0
312,8,49,Etats-Unis,0
321,2,16,Etats-Unis,
323,5,204,,0
326,2,16,Etats-Unis,
327,2,22,Etats-Unis,1996
333,5,111,France,
334,2,22,France,0
348,4,46,France,0
349,4,128,France,0
350,4,110,France,0
355,4,19,France,
361,8,67,France,
366,4,36,France,2008
374,5,97,France,0
380,6,174,Etats-Unis,2011
383,6,174,Etats-Unis,2012
389,6,174,Etats-Unis,2013
402,2,22,Etats-Unis,2016
403,5,20,,2012
412,3,108,France,0
416,3,108,,0
418,8,67,France,0
425,7,93,,0
435,4,236,,0
444,4,36,,0
453,5,42,France,
457,5,65,France,
458,6,36,France,
459,5,111,France,
460,5,240,France,
461,5,42,France,
464,2,26,Etats-Unis,
466,5,135,France,
469,5,42,France,
471,5,22,France,
473,5,42,France,
474,2,16,Etats-Unis,
485,1,33,Etats-Unis,1968
488,1,29,France,1982
498,1,148,Etats-Unis,1979
502,1,68,Etats-Unis,1961
519,6,174,France,2014
533,5,20,,2013
549,5,20,,2009
553,4,43,France - Allemagne,2019
557,8,67,France,2012
560,5,36,France,2012
569,4,43,France,
570,4,36,France,
571,4,19,France,
572,4,46,France,2007
574,4,43,France,
592,6,28,France - Etats-Unis - Japon,0
597,6,175,Japon,0
603,5,111,France,
604,2,16,Allemagne,0
610,4,127,,2007
631,5,13,France,
637,5,98,Etats-Unis,
646,8,4,France,0
651,8,121,Grande-Bretagne,
665,1,31,Grande-Bretagne - Etats-Unis,2008
675,7,93,France,
676,5,36,France,
680,6,172,France - Luxembourg - Corée du Sud,2004
681,6,172,Grande-Bretagne,2004
686,6,237,France,
690,5,98,France,
692,4,110,France,
707,8,8,,0
710,8,8,Etats-Unis,0
712,4,43,Suisse,0
716,4,43,France,
726,2,26,France,2019
730,4,43,France,
732,1,131,France,2008
737,4,43,France,
739,6,173,France - Belgique,2012
741,2,26,Espagne,0
746,5,13,France,
751,6,174,France,2011
752,5,111,France,
754,2,33,Etats-Unis,0
755,4,43,France,
756,5,22,France,2019
760,5,106,,
761,4,43,France,
765,1,63,Etats-Unis,2006
766,3,115,Etats-Unis,0
793,6,174,France,2010
795,6,174,France,2013
796,6,174,Etats-Unis,0
799,4,43,France,1990
800,4,43,France,1990
801,4,52,France,
803,4,46,France,0
804,5,42,France,
806,9,102,France,
807,5,42,France,
808,5,42,France,0
809,4,43,France,1986
811,4,43,France,1986
820,9,61,France,
823,1,31,Etats-Unis,2004
826,5,13,France,
827,5,13,France,
829,2,22,Etats-Unis,1996
830,5,135,France,
832,2,28,Etats-Unis,
834,1,16,France,1979
867,3,36,France,
887,3,38,Etats-Unis,0
898,6,174,France,2010
899,6,174,France,2017
903,6,174,France - Canada,0
912,6,175,Etats-Unis,2008
913,6,174,Etats-Unis - Canada,2020
915,6,181,Etats-Unis,0
920,6,174,Canada - Etats-Unis,2015
921,6,174,France,0
964,3,227,France,
972,1,116,Etats-Unis,2007
986,8,119,Australie,0
994,5,154,France,0
998,8,119,France,0
1001,1,16,France,1954
1006,3,36,,
1016,6,174,Etats-Unis,
1019,6,180,Grande-Bretagne - Etats-Unis,0
1020,6,174,Etats-Unis,2018
1024,6,174,Etats-Unis,2011
1026,6,175,Etats-Unis,2003
1041,2,26,France,0
1047,2,16,France,0
1060,8,159,,0
1084,4,36,,0
1091,3,47,,
1093,4,127,France,
1095,4,127,France,
1098,2,16,Etats-Unis,
1113,3,125,France,
1114,9,107,France,
1115,9,107,France,
1117,9,107,France,
1119,9,107,France,2020
1120,5,97,France,0
1123,5,97,France,
1125,9,113,France,0
1127,1,18,France,2020
1130,9,113,France,
1142,9,101,,
1143,1,30,Grande-Bretagne - Etats-Unis,1957
1147,6,174,Etats-Unis,
1150,6,172,France,2008
1162,4,155,France,
1170,9,101,France,2019
1186,5,37,Allemagne,
1207,6,175,Japon,1983
1214,2,16,France,1996
1230,5,13,France,
1232,2,27,Etats-Unis,
1246,5,134,,
1264,6,172,Canada,0
1269,5,153,,2017
1275,8,67,France,2017
1278,4,46,France,
1279,5,239,France,0
1281,9,101,France,
1285,9,102,France,0
1287,8,67,France,
1292,3,36,,0
1310,5,154,France,2009
1311,3,36,France,
1312,3,47,,
1314,5,134,,0
1317,4,127,France,2006
1319,4,127,,1993
1320,4,127,,
1327,2,83,France,2016
1347,6,173,France,2013
1351,4,43,France,1990
1357,5,42,France,
1369,5,134,Grande-Bretagne,0
1370,4,128,France,
1373,5,111,France,
1374,5,61,,
1385,1,131,France,2014
1396,3,36,,
1406,6,236,,0
1409,6,173,Etats-Unis - Canada,0
1422,1,150,Etats-Unis - Allemagne,2014
1431,1,29,Etats-Unis,2014
1433,8,67,Etats-Unis,0
1434,3,152,France,0
1441,5,98,France,
1447,4,204,,
1460,5,37,France,0
1490,5,204,France,2018
1500,8,49,France,2012
1506,5,111,France,
1510,5,154,France,2006
1511,5,42,France,
1522,4,36,France,2007
1525,9,6,,2013
1536,5,135,,
1549,4,128,France,2020
1554,5,61,Allemagne - France,2020
1568,5,5,Etats-Unis,0
1570,8,6,Etats-Unis,0
1579,4,204,,
1580,5,204,,
1591,6,172,France,2014
1592,6,172,Etats-Unis,
1593,6,174,France,2012
1597,8,119,France,0
1609,2,23,France,0
1613,6,180,France,2013
1616,5,134,,0
1620,5,134,France,0
1629,1,29,Etats-Unis,1975
1641,5,240,,
1642,5,42,France,0
1714,8,125,Islande,0
1722,3,47,France,
1726,1,16,France,1977
1740,6,175,Etats-Unis,2010
1746,2,23,France,
1749,2,16,France,0
1752,5,65,,2015
1861,8,4,France,
1874,1,33,Etats-Unis,2013
1880,8,126,France,0
1886,8,121,France,
1889,2,16,Etats-Unis,
1904,6,236,France,0
1914,1,33,Grande-Bretagne - Etats-Unis - Japon,1994
1915,1,63,Etats-Unis,1976
1916,1,63,Etats-Unis,2009
1921,1,63,Etats-Unis,2012
1926,5,13,France,
1927,2,16,France - Suisse,1993
1951,2,16,France - Grande-Bretagne,2018
1973,1,158,Etats-Unis,2004
1974,1,146,Etats-Unis,2013
1980,6,173,France - Canada,2014
1984,6,174,Canada - Etats-Unis,0
1993,1,5,Etats-Unis,2011
2023,1,29,France,1974
2028,1,146,France,2009
2029,1,131,France,2012
2055,2,33,Grande-Bretagne,
2058,6,180,Etats-Unis,2012
2073,2,27,Etats-Unis,0
2092,1,33,Etats-Unis,2011
2109,5,22,France,0
2114,1,63,Etats-Unis,2002
2133,1,158,France,2013
2152,1,131,France,2014
2224,2,26,Etats-Unis,
2228,1,1,Etats-Unis,2010
2245,1,131,France,1995
2255,1,63,Etats-Unis,2014
2256,1,33,France,2002
2263,1,27,Etats-Unis,2002
2298,1,68,Etats-Unis,1955
2312,2,16,Etats-Unis,
2316,1,16,Etats-Unis,1999
2324,9,36,,2018
2344,3,77,France,
2365,4,239,France,2018
2375,9,11,,2013
2378,8,4,,
2406,1,68,Etats-Unis,1969
2410,1,31,Etats-Unis,2003
2436,1,30,Etats-Unis,1994
2453,6,173,Etats-Unis,2010
2471,1,131,France - Allemagne,2001
2485,5,135,France,
2486,1,29,France,1996
2495,1,5,Etats-Unis - Pérou,2010
2521,2,16,Etats-Unis,
2530,8,121,France,
2536,1,138,Pologne - France - Grande-Bretagne,2013
2554,1,146,France,2014
2557,9,107,France,
2575,5,13,France,
2590,6,236,,
2600,9,101,France,
2607,1,131,France,2014
2616,5,22,France,0
2638,1,131,France,2004
2649,1,63,Etats-Unis,2009
2677,8,136,France,
2701,1,5,France - Etats-Unis - Italie,1988
2751,1,14,Etats-Unis,1963
2758,2,33,France,2017
2836,1,131,France,2014
2857,1,63,Etats-Unis - Grande-Bretagne,2013
2878,1,116,Etats-Unis,1990
2898,6,174,France - Etats-Unis,0
2912,1,146,France,2009
2949,6,182,Etats-Unis,2013
2977,2,22,France,2015
2992,1,33,Etats-Unis,1942
2996,1,148,Italie - France,1957
3024,1,158,France,2005
3046,6,174,France,2011
3053,2,16,Danemark,
3067,3,77,Australie,0
3073,1,149,France - Allemagne - Danemark,2013
3083,5,65,France,0
3103,1,5,Etats-Unis,1972
3147,4,43,France,
3149,2,16,Etats-Unis,
3158,1,16,France,2015
3193,3,77,Grande-Bretagne,0
3198,8,119,France,0
3219,3,108,France,0
3265,1,1,Etats-Unis,1991
3276,8,67,France,
3291,1,150,Etats-Unis,2006
3355,2,16,Etats-Unis,
3402,8,5,Etats-Unis,0
3424,6,174,Etats-Unis,2015
3430,1,141,Etats-Unis,2000
3445,1,158,Etats-Unis - France,2014
3449,8,4,Australie,0
3452,2,22,Etats-Unis,
3478,1,29,France,1978
3519,1,116,France,1989
3662,1,27,Etats-Unis - Allemagne,2006
3669,6,180,Etats-Unis,2009
3677,1,146,Etats-Unis,2012
3713,1,131,France,2004
3716,8,119,Japon,
3717,6,180,Etats-Unis,2010
3820,8,4,France,
3829,1,15,Etats-Unis,1951
3841,1,116,Etats-Unis,2014
3846,1,5,Etats-Unis,1995
3857,1,63,Etats-Unis,1996
3902,4,46,France,0
3914,1,1,Etats-Unis,2012
3934,8,49,Canada,0
3949,8,204,France,0
3986,8,6,Canada,
4042,1,5,Allemagne - Grande-Bretagne - Afrique du Sud,2012
4049,1,63,Etats-Unis,2006
4057,1,27,Etats-Unis,2011
4081,5,97,France,
4116,8,49,France,0
4133,1,1,Allemagne - Italie - Autriche,2001
4135,8,6,France - Pologne,
4154,1,27,Etats-Unis - HongKong,1973
4182,8,126,France,
4195,1,1,Etats-Unis,1999
4237,1,1,Etats-Unis,2005
4321,8,119,France,0
4328,1,27,France,1997
4370,1,33,France,2004
4394,6,172,France - Singapour,
4395,6,172,Grande-Bretagne,2009
4399,4,43,France,
4408,6,172,France,2015
4470,1,63,Etats-Unis,2012
4493,1,131,France,2012
4532,1,5,Grande-Bretagne,1979
4675,3,38,Etats-Unis,2017
4782,1,150,Etats-Unis,2001
4830,1,131,France - Italie,1967
4845,1,131,France - Italie,1968
4877,6,180,Etats-Unis,2014
4878,1,16,France,2015
4891,1,1,Etats-Unis,1994
4929,1,16,Etats-Unis,2006
4930,1,63,Etats-Unis,1995
4970,1,30,Etats-Unis,1986
4982,8,67,France,
4994,5,153,France,
5001,1,23,Etats-Unis,1995
5043,1,141,Etats-Unis,2005
5063,1,30,France - Etats-Unis,1966
5077,8,49,France,0
5078,8,49,France,0
5087,1,33,Etats-Unis,1990
5112,1,5,Etats-Unis,1953
5129,1,23,Etats-Unis,2007
5188,3,36,France,0
5205,8,123,France,0
5220,1,131,France,1991
5237,1,131,France,1949
5248,8,123,Allemagne,2014
5255,1,1,Etats-Unis,1984
5256,1,1,Etats-Unis,1989
5290,2,22,France,0
5347,2,16,Etats-Unis,
5378,1,1,Etats-Unis,2007
5382,1,1,Grande-Bretagne - France - Etats-Unis,2011
5407,1,14,France,2009
5415,1,68,Espagne - Italie - Grande-Bretagne,1973
5422,2,26,Etats-Unis,
5428,2,22,Etats-Unis,
5444,1,63,Etats-Unis - Allemagne,0
5450,1,68,Etats-Unis,1954
5451,1,63,France,1979
5462,8,121,France - Canada - Belgique,
5514,1,131,France,2011
5541,8,94,France,0
5548,1,14,France,2013
5549,2,22,Etats-Unis,
5584,2,16,France,
5595,1,14,France,2006
5615,6,179,France,
5629,1,148,Espagne,2002
5682,1,15,Etats-Unis,1944
5707,1,16,Grande-Bretagne,2011
5711,6,237,,0
5717,1,1,Etats-Unis,1995
5754,1,116,Etats-Unis,2002
5797,4,236,France,
5833,2,22,France,0
5843,1,16,Etats-Unis,1997
5908,1,116,Etats-Unis,2009
5918,8,119,France,0
5938,1,141,Etats-Unis,1992
6000,1,150,Etats-Unis,2015
6075,8,5,Autriche,0
6152,1,146,France,2005
6161,1,14,France,1977
6163,1,131,France,1953
6169,1,138,France,2013
6173,1,30,Etats-Unis,2005
6183,2,23,Etats-Unis,0
6201,8,94,France,0
6255,1,131,France,1959
6260,4,48,France,
6264,1,146,France - Grande-Bretagne - Belgique,2000
6273,1,63,France,1976
6294,1,63,Allemagne - Canada - Etats-Unis,1999
6339,1,141,France,2009
6363,1,5,Grande-Bretagne,1980
6366,1,146,France - Etats-Unis,2007
6423,8,94,France,
6424,1,141,Etats-Unis,1997
6449,1,23,Etats-Unis,2008
6455,2,33,Grande-Bretagne - Allemagne - Etats-Unis,2002
6469,1,27,Australie,1979
6487,2,16,France,
6577,6,173,Etats-Unis,1942
6615,8,159,Autriche,
6654,2,26,Etats-Unis,
6717,8,67,France,
6745,1,63,Etats-Unis,1993
6753,1,31,Etats-Unis,1996
6754,1,31,Etats-Unis,1998
6756,1,116,Etats-Unis - Grande-Bretagne,2011
6812,1,5,Grande-Bretagne - Etats-Unis,1976
6838,2,6,Canada - Irlande,0
6850,6,172,Grande-Bretagne,
6877,5,61,Grande-Bretagne,0
6894,1,131,France,2011
6895,1,131,France,2009
6929,5,41,,
6963,1,5,Pays-Bas,2008
6988,1,18,Irlande,2012
7018,1,116,Etats-Unis,2010
7029,8,49,France,0
7070,6,172,,2019
7099,5,13,France,
7122,1,63,France,2010
7134,1,27,Etats-Unis,2014
7136,1,141,Italie - Etats-Unis,1961
7149,8,94,Suisse,0
7165,1,5,Etats-Unis,1993
7316,1,63,France,2009
7344,8,67,France,
7349,1,27,Etats-Unis,2003
7369,1,16,Etats-Unis,2007
7388,8,130,France,
7397,1,30,Etats-Unis,1999
7402,1,5,France - Italie - Allemagne,1959
7427,1,1,Etats-Unis,2010
7460,1,131,France,1991
7486,6,172,Russie,
7496,1,5,Etats-Unis,1997
7506,5,153,France,
7532,1,27,Japon,2000
7535,1,27,Etats-Unis,2004
7536,1,27,Etats-Unis,2002
7540,1,63,Etats-Unis - France,2010
7547,4,48,France,
7548,4,48,France,
7549,4,48,France,
7552,4,48,France,
7564,1,5,France - Italie - Allemagne,1959
7580,5,153,France,
7610,8,49,Etats-Unis,0
7615,4,128,France,0
7616,4,48,France,0
7617,4,155,Belgique,0
7620,4,43,,0
7628,4,43,Belgique,0
7633,4,36,France,2013
7634,9,102,France,2018
7635,2,22,France,2018
7640,4,128,France,0
7647,9,61,France,
7676,8,8,France,0
7682,4,36,,2010
7683,4,36,,0
7688,5,61,,2005
7724,4,128,Canada,0
7731,5,51,,
7740,6,175,Japon,0
7742,6,175,Japon,2011
7748,2,28,Japon,0
7750,9,101,France,0
7751,7,83,,0
7752,2,28,Japon,0
7753,2,28,Japon,2008
7756,5,13,France,
7758,5,13,France,
7772,6,28,Etats-Unis,2005
7777,5,20,Luxembourg,
7784,5,51,France,0
7785,5,51,,
7786,9,101,France,0
7791,2,28,Japon,0
7793,6,28,Japon,2010
7801,2,28,Japon,2007
7802,2,28,Japon,2007
7805,5,13,France,
7825,8,49,Suisse,2019
7828,4,128,,0
7835,4,128,France,0
7839,2,28,Japon,0
7840,2,28,Japon,0
7863,5,13,France,
7877,5,153,France,0
7878,5,37,Hongrie,0
7922,1,31,Etats-Unis - France,2008
7930,5,13,France,
7936,5,13,France,
7937,5,13,France,
7944,1,27,Etats-Unis,1982
7981,4,43,France,
7982,4,36,France,2013
7992,8,126,France,
7993,9,36,France,2013
7994,4,36,France,
7999,5,51,France,
8005,4,128,France,
8007,1,29,Etats-Unis,2008
8045,4,155,France,
8088,5,13,France,
8089,5,13,France,
8117,4,128,France,
8131,4,155,France,
8132,4,128,Colombie,
8190,1,27,Etats-Unis,1990
8192,1,15,Etats-Unis,1982
8202,4,48,France,
8203,4,48,France,
8280,1,16,Grande-Bretagne,2014
8283,6,236,France,0
8305,1,116,Etats-Unis,2012
8400,2,27,Etats-Unis,1968
8409,1,5,Etats-Unis,2001
8414,6,182,Etats-Unis,
8494,1,68,Etats-Unis,1970
8560,5,111,France,
8566,1,23,Grande-Bretagne,1984
8621,2,181,Etats-Unis,0
8623,8,67,Allemagne,2019
8650,1,30,Etats-Unis,1971
8725,3,227,France,
8757,2,22,Etats-Unis,
8770,9,101,Etats-Unis,
8775,2,33,Etats-Unis,
8790,1,27,Etats-Unis,1985
8858,2,26,France,0
8861,1,27,Etats-Unis,2013
8912,4,52,France,
8922,1,30,Etats-Unis,2008
8958,1,27,Etats-Unis - Grande-Bretagne - Allemagne,2003
9010,5,65,,
9015,1,5,Etats-Unis,1976
9027,4,36,France,
9028,9,113,France,
9064,1,16,France,2011
9091,1,27,Etats-Unis,2013
9106,1,63,Canada,2010
9134,1,141,France,2014
9153,1,148,Etats-Unis,2001
9163,2,26,France,
9164,2,22,France,0
9169,8,136,France,0
9178,1,63,Grande-Bretagne,1979
9200,1,27,Etats-Unis,1988
9220,1,16,Etats-Unis,1998
9247,8,67,Etats-Unis,
9271,1,1,Etats-Unis,1961
9298,5,65,Etats-Unis,2012
9347,1,14,Etats-Unis,2009
9377,1,148,France,2001
9379,1,63,France - Belgique,2010
9389,8,119,France,0
9414,2,33,Grande-Bretagne,1976
9421,1,131,France,2012
9428,1,31,Etats-Unis - France,1991
